// ID_Icon,Float:X,Float:Y,FloatZ


// Airyard | Old_Airport
5, 327.448, 2530.095, 15.8066

// Ammu_Nation
6, 1372.9, -1278.8, 12.5
6, 2400.5, -1978.4, 13.5
6, -2626.6, 209.4, 4.9
6, 2535.9, 2083.5, 10.8
6, 2156.5, 943.2, 10.8
6, 779.7, 1874.3, 4.9
6, -2092.7, -2463.8, 30.6
6, 240.0, -178.2, 2.0
6, -1509.4, 2611.8, 58.5
6, -315.67, 829.87, 13.43
6, 2332.9, 63.6, 31.0

// Barber
7, 822.6, -1590.3, 13.5
7, -2570.1, 245.4, 10.3
7, 2726.6, -2026.4, 17.5
7, 2080.3, 2119.0, 10.8
7, 675.7, -496.6, 16.8
7, 2070.27, -1791.092, 17.1484 // Marker_Idlewood_Barber

// Big_Smoke_House
8, 2070.87, -1703.01, 12.55

// Burger_Shot
10, 812.9, -1616.1, 13.6
10, 1199.1, -924.0, 43.3
10, 2362.2, 2069.9, 10.8
10, 2469.5, 2033.8, 10.8
10, 2172.9, 2795.7, 10.8
10, 1875.3, 2072.0, 10.8
10, 1161.5, 2072.0, 10.8
10, -2356.0, 1009.0, 49.0
10, -1913.3, 826.2, 36.9
10, -2335.6, -165.6, 39.5

// Catalina
12, 868.3358, -29.5529, 62.3276

// Cesar
13, 1801.08, -2117.92, 12.56

// Cluckin_Bell
14, 2397.8, -1895.6, 13.7
14, 2421.6, -1509.6, 24.1
14, -2671.6, 257.4, 4.6
14, 2392.4, 2046.5, 10.8
14, 2844.5, 2401.1, 11.0
14, 2635.5, 1674.3, 11.0
14, 2105.7, 2228.7, 11.0
14, -2154.0, -2461.2, 30.8
14, -1816.2, 620.8, 37.5
14, -1216.0, 1831.4, 45.3
14, 172.73, 1176.76, 13.7
14, 932.0, -1353.0, 14.0

// Johnson_house
15, 2495.214, -1687.03, 12.5144

//C.R.A.S.H
16, 1042.85, -1338.62, 12.55

//Diner
17, 2862.0, -1439.0, 10.0
